# File: HDDCDD_NEX_GDDP_CMIP6_HK.csv
# Title: Population-weighted HDDCDD historical data and projections for Hong Kong
# Units: Fahrenheit Degree Days
# Source: Refer to Xiujuan He Hong Kong base temperatures for heating and cooling degree days (HDD and CDD) are 14.95°C and 20.66°C (not 18.3°C as default). The climate data are from the NEX-GDDP-CMIP6 dataset and using ensemble mean of 33 models in SSP126 SSP245 SSP370 and SSP585 scenarios. The projection is started from 2015.
# Column types: cnnnnnnnnnn
# ----------
scenario,year,hdd_fdd_mean,hdd_fdd_median,hdd_fdd_p05,hdd_fdd_p95,cdd_fdd_mean,cdd_fdd_median,cdd_fdd_p05,cdd_fdd_p95,n_models
ssp245,2051,57.52579904090949,47.36371104359501,11.244245270865035,126.50591989084782,3097.5888768328955,3132.4339514469,2738.551508760423,3425.375506772492,32
ssp245,2052,77.53931714942043,71.27620361324225,21.717238252368116,200.10880084509952,3062.150768955409,3106.931481037946,2644.5666163733454,3379.09957028681,32
ssp245,2053,66.33131848142439,65.70113050837533,19.7429946245656,105.014597029913,3076.605402709047,3090.2068967791693,2771.4209430157134,3423.405016222455,32
ssp245,2054,60.692439180185914,62.43765208829167,14.40670206892333,122.64155701644086,3101.4258478741845,3102.0784641931023,2708.52392408084,3491.0512771760195,32
ssp245,2055,68.94468517482008,49.57855769716076,9.054442014811245,169.13553962641552,3084.0588248333675,3103.8861875117623,2656.487938538357,3423.0811975041725,32
ssp245,2056,54.369577787993364,42.39770152979315,16.13190605846716,122.72784000517667,3163.128297544155,3131.9905211743853,2831.8606769634744,3611.446439351237,32
ssp245,2057,59.111110221238576,49.63415892538472,9.08516658984716,127.24376152388858,3155.7251860710076,3114.248452615844,2800.4360000323063,3571.394660905083,32
ssp245,2058,52.700004494465325,47.74158938926808,7.670512817900425,113.3474915029413,3173.658397020309,3166.810425311882,2678.557930959865,3615.2015422108607,32
ssp245,2059,61.902020978993946,60.78930347608103,7.3812329076548,107.3679833302719,3193.420791020472,3184.2119893459244,2920.865895562894,3587.2771871236255,32
ssp245,2060,53.66927787829885,32.48049899059724,6.305351957157563,177.32714259158615,3216.872979121856,3208.3927768580847,2766.180783944227,3657.7282953962604,32
